Form Sinop
station_id,station_name,current_latitude,current_longitude,timestamp,wind_dir_deg_dd,wind_speed_ff,visibility_vv,present_weather_ww,past_weather_w1,past_weather_w2,pressure_qfe_mb_derived,pressure_qff_mb_derived,temp_drybulb_c_tttttt,temp_dewpoint_c_tdtdtd,temp_wetbulb_c,temp_max_c_txtxtx,temp_min_c_tntntn,relative_humidity_pc,rainfall_24h_rrrr,rainfall_6h_rrr,rainfall_indicator_ir,evaporation_24hours_mm_eee,sunshine_h_sss,qc_flag,qc_parameter
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-01 00,0,0,9,2,6,2,1008.6,1009.7,26.6,25,25.4,,25.4,91,0.5,0.5,0,2.8,5.7,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-01 01,0,0,10,3,2,2,1009.6,1010.7,27.7,24.3,25.2,,,82,,,4,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-01 02,0,0,9,2,2,2,1010.4,1011.5,28.8,24.6,25.7,,,78,,,4,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-01 03,360,2,10,2,2,2,1010.3,1011.4,29.9,24.5,25.9,,,73,,,3,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-01 04,0,0,10,2,2,2,1009.4,1010.5,30.8,24.7,26.3,,,70,,,4,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-01 05,200,3,10,2,2,2,1008.5,1009.6,32.5,25.9,27.5,,,68,,,4,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-01 06,240,3,10,2,2,2,1007.6,1008.7,30.6,25,26.4,,,72,,0,3,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-01 07,200,2,9,2,2,2,1006.5,1007.6,30.4,25.2,26.5,,,74,,,4,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-01 08,190,2,10,2,2,2,1005.4,1006.5,30.6,25,26.4,,,72,,,4,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-01 09,270,2,10,2,2,2,1004.9,1006,30.4,24.6,26.1,,,71,,,3,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-01 10,230,3,6,2,2,2,1005.1,1006.2,31,24.4,26.1,,,68,,,4,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-01 11,0,0,5,60,6,2,1005.7,1006.8,30.3,24.5,26,,,71,,,4,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-01 12,100,2,8,21,6,2,1006.3,1007.4,28.4,25.4,26.2,32.8,,84,,3,0,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-01 13,0,0,8,2,2,2,1006.8,1007.9,28.1,25.3,26,,,85,,,4,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-01 14,0,0,8,2,2,2,1008,1009.1,27.2,25.2,25.7,,,89,,,4,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-01 15,0,0,8,2,2,2,1008.3,1009.4,27.5,25.3,25.9,,,88,,,3,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-01 16,0,0,9,2,2,2,1008.4,1009.5,26.8,24.9,25.4,,,89,,,4,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-01 17,0,0,9,2,2,2,1008.2,1009.3,26.6,24.7,25.2,,,89,,,4,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-01 18,0,0,9,2,2,2,1007.6,1008.7,26.4,24.6,25.1,,,90,,0,3,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-01 19,0,0,9,1,2,1,1007.1,1008.2,26.2,24.6,25,,,91,,,4,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-01 20,0,0,9,2,2,2,1006.4,1007.5,26.1,24.3,24.8,,,90,,,4,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-01 21,0,0,8,2,2,1,1006.1,1007.2,26.2,24.4,24.9,,,90,,,3,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-01 22,0,0,8,3,2,1,1006.1,1007.2,26,24.1,24.6,,,89,,,4,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-01 23,0,0,8,3,2,2,1006.1,1007.2,26,24.2,24.7,,,90,,,4,,,0,
96161,Stasiun Meteorologi Maritim Teluk Bayur,-0.99639,100.37222,2025-03-02 00,0,0,8,3,2,1,1007,1008.1,25.9,24.7,25,,25.9,93,3,0,1,1.7,2.2,0,
